dtm,soc_up,soc_down,max_power,min_power
2019-01-02 09:00:00,-0.001400744,0.04037343399999998,0.14666700000000002,-0.638
2019-01-02 09:30:00,-0.04410514500000008,0.0015221889999999989,0.682,-0.132
2019-01-02 10:00:00,-0.026711494000000047,0.027220335999999876,0.685667,-0.454667
2019-01-02 10:30:00,-0.04618487799999999,0.003895926,0.682,-0.366667
2019-01-02 11:00:00,-0.16075612200000067,0.0,0.7186670000000001,0.0
2019-01-02 11:30:00,-0.11332712200000022,0.002251536,0.77,-0.22
2019-01-02 12:00:00,-0.05244496200000008,0.0,0.894667,0.0
2019-01-02 12:30:00,-0.04907178400000007,0.0075484200000000045,0.462,-0.366667
2019-01-02 13:00:00,-0.02197808100000001,0.02234684800000001,0.586667,-0.586667
2019-01-02 13:30:00,-0.0005760700000000001,0.012760033999999958,0.095333,-0.381333
